               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10998,            0.032405,            0.026437,                   0,                   0,                   0,                   0,            0.087051,            0.026852,            0.018495,              0.0982,              0.0002,              0.0002
                   1,              0.0934,            0.034138,            0.022389,           0.0013333,            0.055556,          0.00075407,          0.00015081,            0.085602,             0.02675,            0.018316,             0.09549,           0.0004901,           0.0004901
                   2,             0.10493,            0.034906,            0.025524,            0.003937,             0.16667,           0.0039997,          0.00088058,            0.081815,            0.027229,            0.017892,            0.092768,          0.00076832,          0.00076832
                   3,            0.093861,             0.03514,             0.02394,           0.0032733,             0.22222,           0.0029571,          0.00094685,            0.075374,            0.028327,            0.017225,            0.090035,           0.0010347,           0.0010347
                   4,             0.10064,              0.0359,            0.029875,           0.0050251,             0.33333,           0.0072021,           0.0019381,            0.067258,            0.029157,            0.016628,            0.087289,           0.0012891,           0.0012891
                   5,            0.069829,            0.030665,            0.022227,           0.0058043,             0.38889,            0.026564,           0.0046426,            0.058569,            0.030575,            0.015895,            0.084532,           0.0015317,           0.0015317
                   6,            0.081473,            0.036603,            0.022431,           0.0075377,             0.33333,             0.03891,           0.0080531,            0.057919,            0.030175,            0.016916,            0.081762,           0.0017624,           0.0017624
                   7,            0.071256,            0.041832,            0.018415,           0.0082498,             0.54444,            0.027422,           0.0076721,            0.056046,             0.02994,            0.016239,            0.078981,           0.0019812,           0.0019812
                   8,             0.06756,            0.036018,            0.018891,           0.0093499,                 0.8,             0.18513,            0.037453,            0.051085,             0.02928,             0.01481,            0.076188,           0.0021882,           0.0021882
                   9,            0.075948,            0.036163,            0.021115,            0.021883,                   1,             0.21213,            0.058932,            0.049304,            0.028919,            0.014187,            0.073383,           0.0023832,           0.0023832
                  10,            0.065513,            0.036045,            0.019619,             0.10444,             0.53333,             0.28717,            0.091831,            0.045462,            0.028028,            0.013868,            0.070566,           0.0025664,           0.0025664
                  11,            0.069493,            0.033876,            0.016704,             0.18884,             0.37778,             0.30853,             0.11239,            0.045765,            0.027222,            0.013144,            0.067738,           0.0027377,           0.0027377
                  12,            0.059592,            0.036688,            0.017231,             0.62469,             0.27778,             0.39599,             0.13936,            0.045542,            0.025686,            0.012618,            0.064897,           0.0028971,           0.0028971
                  13,            0.068161,            0.034508,            0.019115,             0.17511,             0.30927,             0.33116,             0.10054,             0.04309,            0.024967,            0.012368,            0.062045,           0.0030447,           0.0030447
                  14,            0.057142,            0.032198,            0.016848,             0.28001,             0.53333,             0.34542,             0.12451,            0.042544,            0.023845,            0.011709,             0.05918,           0.0031803,           0.0031803
                  15,            0.047527,            0.030968,            0.013106,             0.20755,              0.4638,             0.32055,             0.14451,            0.039608,            0.023555,            0.011459,            0.056304,           0.0033041,           0.0033041
                  16,            0.055338,             0.03404,            0.012808,             0.27917,             0.74444,              0.4474,             0.19334,            0.034846,            0.024036,            0.011034,            0.053416,            0.003416,            0.003416
                  17,            0.051734,            0.032128,            0.012022,             0.33117,             0.64444,             0.46355,             0.20402,            0.039905,            0.023043,            0.010185,            0.050516,            0.003516,            0.003516
                  18,              0.0621,             0.02724,            0.019939,             0.20715,             0.68889,             0.34091,             0.17945,            0.036587,            0.023337,            0.010992,            0.047604,           0.0036042,           0.0036042
                  19,            0.048363,            0.028346,            0.011309,             0.25144,                 0.7,             0.52594,             0.21072,            0.033047,            0.023575,            0.010336,             0.04468,           0.0036804,           0.0036804
                  20,            0.057447,            0.032095,            0.012983,             0.47576,             0.64444,              0.5695,             0.20823,            0.036961,            0.023187,           0.0087359,            0.041745,           0.0037448,           0.0037448
                  21,             0.05532,            0.025978,            0.033366,             0.52565,                 0.7,             0.60956,             0.22162,            0.031273,            0.022931,           0.0082578,            0.038797,           0.0037973,           0.0037973
                  22,            0.049469,            0.025239,           0.0098626,             0.49636,             0.58889,             0.47763,             0.14023,            0.040575,            0.020773,           0.0078247,            0.035838,           0.0038379,           0.0038379
                  23,             0.06256,            0.030706,             0.01328,             0.55132,             0.64444,             0.62466,             0.20768,            0.035466,            0.020249,           0.0074355,            0.032867,           0.0038667,           0.0038667
                  24,             0.05596,            0.025865,            0.017525,             0.44959,             0.81204,             0.67976,             0.32811,            0.027767,            0.019904,           0.0074389,            0.029884,           0.0038835,           0.0038835
                  25,            0.059538,            0.030258,            0.016091,             0.50889,                 0.8,             0.72518,             0.42063,            0.030208,            0.018394,           0.0075157,            0.026888,           0.0038885,           0.0038885
                  26,            0.065024,            0.028176,            0.010506,             0.36226,                 0.8,             0.55812,             0.31865,            0.027298,             0.01821,           0.0075871,            0.023882,           0.0038816,           0.0038816
                  27,             0.05786,            0.027773,            0.011209,             0.38055,                 0.8,             0.60502,             0.22063,            0.035265,            0.017385,           0.0066667,            0.020863,           0.0038628,           0.0038628
                  28,            0.036956,            0.024489,           0.0085465,             0.38055,                 0.8,             0.60502,             0.22063,            0.035265,            0.017385,           0.0066667,            0.017832,           0.0038322,           0.0038322
                  29,            0.046668,             0.02673,           0.0071335,             0.52244,             0.63311,             0.72874,             0.40349,            0.027789,            0.017753,           0.0060343,             0.01479,           0.0037896,           0.0037896
                  30,            0.041843,            0.023237,            0.011691,             0.62826,             0.48889,             0.61074,             0.28246,             0.03971,            0.017176,           0.0058133,            0.011735,           0.0037352,           0.0037352
                  31,            0.057119,            0.024022,            0.010617,             0.76468,             0.56258,              0.7696,             0.42386,             0.03305,            0.017666,           0.0050671,           0.0086689,           0.0036689,           0.0036689
                  32,            0.039635,            0.022961,           0.0076419,             0.76468,             0.56258,              0.7696,             0.42386,             0.03305,            0.017666,           0.0050671,           0.0055907,           0.0035907,           0.0035907
                  33,            0.053614,            0.025033,           0.0079128,              0.5443,             0.69554,             0.79547,             0.34504,            0.033262,             0.01739,           0.0046268,            0.003466,            0.003466,            0.003466
                  34,            0.050443,            0.025764,           0.0076313,             0.61568,             0.77485,             0.79682,             0.29851,            0.034561,            0.016553,           0.0037298,            0.003466,            0.003466,            0.003466
                  35,            0.057149,            0.031552,           0.0072793,             0.77233,                 0.8,             0.90786,             0.56665,            0.024829,            0.016424,           0.0032728,            0.003268,            0.003268,            0.003268
                  36,            0.048773,            0.025788,           0.0067337,             0.77233,                 0.8,             0.90786,             0.56665,            0.024829,            0.016424,           0.0032728,             0.00307,             0.00307,             0.00307
                  37,            0.046827,             0.02445,            0.010718,             0.87067,              0.8932,               0.984,             0.61788,            0.025767,            0.016382,           0.0030396,            0.002872,            0.002872,            0.002872
                  38,            0.043927,            0.025421,            0.005784,             0.85688,             0.85796,             0.92643,             0.59642,            0.023126,            0.016196,           0.0028036,            0.002674,            0.002674,            0.002674
                  39,            0.040214,            0.026781,            0.007135,              0.8658,             0.96909,             0.96667,             0.56213,            0.024113,            0.015632,           0.0026024,            0.002476,            0.002476,            0.002476
                  40,             0.04627,            0.022886,            0.011092,              0.8658,             0.96909,             0.96667,             0.56213,            0.024113,            0.015632,           0.0026024,            0.002278,            0.002278,            0.002278
                  41,             0.04102,            0.025443,           0.0068115,             0.94291,              0.8755,             0.97833,             0.58453,            0.023081,             0.01514,           0.0025004,             0.00208,             0.00208,             0.00208
                  42,            0.042833,            0.022427,           0.0075734,             0.85286,                 0.9,             0.94421,             0.55684,            0.021994,            0.015016,           0.0024547,            0.001882,            0.001882,            0.001882
                  43,            0.044107,            0.018407,           0.0078498,             0.77978,             0.87228,             0.92506,             0.59498,            0.023924,            0.014824,           0.0023009,            0.001684,            0.001684,            0.001684
                  44,            0.036974,            0.020866,            0.016974,             0.77978,             0.87228,             0.92506,             0.59498,            0.023924,            0.014824,           0.0023009,            0.001486,            0.001486,            0.001486
                  45,            0.032228,            0.022942,           0.0054779,             0.90348,                 0.9,             0.96093,             0.60694,            0.022538,            0.014695,           0.0022529,            0.001288,            0.001288,            0.001288
                  46,            0.032149,            0.022145,           0.0071953,             0.92168,                 0.9,               0.941,              0.5536,             0.02197,            0.014749,           0.0022381,             0.00109,             0.00109,             0.00109
                  47,            0.035015,             0.02522,            0.016121,             0.97606,             0.89518,             0.97833,             0.63166,            0.019796,            0.014527,           0.0022279,            0.000892,            0.000892,            0.000892
                  48,             0.04161,            0.024103,            0.013813,             0.97606,             0.89518,             0.97833,             0.63166,            0.019796,            0.014527,           0.0022279,            0.000694,            0.000694,            0.000694
                  49,            0.039235,            0.024455,            0.014444,             0.97214,             0.89281,             0.97833,                0.63,            0.019178,            0.014491,           0.0022301,            0.000496,            0.000496,            0.000496
